product,category,sales,region,month,price
Laptop,Electronics,1200,North,January,899.99
Mouse,Electronics,450,South,January,29.99
Keyboard,Electronics,320,East,January,79.99
Monitor,Electronics,800,West,January,299.99
Tablet,Electronics,600,North,February,399.99
Phone,Electronics,1500,South,February,699.99
Headphones,Electronics,200,East,February,149.99
Speaker,Electronics,150,West,February,89.99
Webcam,Electronics,300,North,March,59.99
Printer,Electronics,250,South,March,199.99
Router,Electronics,180,East,March,129.99
Cable,Electronics,100,West,March,19.99
Desk,Furniture,400,North,January,199.99
Chair,Furniture,350,South,January,149.99
Lamp,Furniture,120,East,January,39.99
Bookshelf,Furniture,280,West,January,89.99
Table,Furniture,320,North,February,179.99
Sofa,Furniture,800,South,February,599.99
Cabinet,Furniture,450,East,February,249.99
Dresser,Furniture,520,West,February,299.99
